Model,MAE,MSE,RMSE,R2
Lab — Linear Regression,20.548,767.473,27.703,0.128
Lab — XGBoost (point),20.08,731.064,27.038,0.169
Lab — XGBoost P50,18.893,810.068,28.462,0.079
